Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Singapore,Included / EURO,Price / EURO,Compare At Price / EURO,Included / India,Price / India,Compare At Price / India,Included / Indonesia,Price / Indonesia,Compare At Price / Indonesia,Included / International,Price / International,Compare At Price / International,Included / USA,Price / USA,Compare At Price / USA,Status
brown-calf-leather-crossbody-bag-italy,Brown Calf Leather Crossbody Bag Italy,"This crossbody bag features a leather body, adjustable flat leather strap, front flap with magnetic closure, and interior zip and slip pocket. Exterior Front Discolored, Out Of Shape, Worn. Exterior Front stained with Other. Exterior Back Discolored, Out Of Shape, Scratched. Exterior Bottom Discolored, Out Of Shape, Scratched. Exterior Handle Discolored, Out Of Shape, Worn. Exterior Corners Worn. Exterior Side Discolored, Out Of Shape, Worn. Exterior Top Discolored, Out Of Shape, Worn. Interior Lining stained with Other. Lock Scratched. Practical Attachment Scratched. Zipper Scratched. 

Inclusions: 
Authenticity Card

Shoulder Drop: 61.00 cm

Serial Number: BT0251
Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,BAGS,"ALL, BAGS_PRADA_WOMEN_ALL, DESIGNER_ALL, PRADA_ALL, PRADA_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL",TRUE,Title,Default Title,,,,,SBUPBG280369,0,shopify,1,deny,manual,770,1150,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/682040c5f99649a5eb18caab7dc04c0c.jpg?v=1692613059,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
blue-calf-leather-epi-soufflot-france,Blue Calf Leather Epi Soufflot France,"The Soufflot features an epi leather body, flat leather straps, a top zip closure, and an interior slip pocket. Exterior Handle Worn. Exterior Side Worn. Interior Lining stained with Other. Practical Attachment Scratched. 

Inclusions: 
This item does not come with inclusions.

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Hand Drop: 18.00 cm
Shoulder Drop: 16.00 cm

Serial Number: MI1926
Country of Origin: France
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,SHOULDER BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG281229,0,shopify,1,deny,manual,690,1280,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/97e675b8b3e8bdd7a34c1b040dff1f3a.jpg?v=1692613046,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
yellow-nappa-leather-biker-satchel-italy,Yellow Nappa Leather Biker Satchel Italy,"The Biker Satchel features a nappa leather body with a quilted trim, a flat leather handle, a detachable shoulder strap, front dual exterior zip pockets, a flap with push-lock closure, and interior zip pockets. Exterior Front Out Of Shape, Scratched. Exterior Back Worn. Exterior Bottom Scratched. Exterior Handle Creased, Out Of Shape. Exterior Side Scratched. Interior Lining Worn. Interior Pocket Worn. Lock Scratched. Practical Attachment Scratched. 

Inclusions: 
Dust Bag
Authenticity Card

Hand Drop: 11.00 cm
Shoulder Drop: 55.00 cm

Serial Number: R1078B
Country of Origin: Italy",styletribute,,SHOULDER BAGS,"ALL, BAGS_MIU MIU_WOMEN_ALL, DESIGNER_ALL, MIU MIU_ALL, MIU MIU_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG273851,0,shopify,1,deny,manual,600,2350,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/7e3d6b3310ff74163a1a819fdc4ff355.jpg?v=1692613034,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-coated-canvas-fabric-small-triomphe-vertical-cabas-italy,Brown Coated Canvas Fabric Small Triomphe Vertical Cabas Italy,"This satchel features a coated canvas body, rolled leather handles, a detachable flat leather strap, an open top, and an interior zip pocket. Exterior Front Out Of Shape. Exterior Back Out Of Shape. Exterior Handle Worn. Exterior Corners Worn. Exterior Side Worn. Exterior Top Worn. Interior Lining Worn. Interior Lining stained with Other. Interior Pocket Worn. Zipper Scratched. 

Inclusions: 
This item does not come with inclusions.

Hand Drop: 10.50 cm
Shoulder Drop: 50.00 cm

Serial Number: F GA 1201
Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,SHOULDER BAGS,"ALL, BAGS_CELINE_WOMEN_ALL, CELINE_ALL, CELINE_WOMEN_ALL, DESIGNER_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG277678,0,shopify,1,deny,manual,2460,3690,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/f81328f988942b2508c5e721382a9013.jpg?v=1692613022,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-dark-nylon-fabric-tessuto-shoulder-bag-italy,Brown Dark Nylon Fabric Tessuto Shoulder Bag Italy,"This shoulder bag features a nylon body, nylon woven chain strap, top zip closure, and interior zip pocket. Exterior Front Discolored, Out Of Shape. Exterior Front stained with Other. Exterior Back Discolored, Out Of Shape. Exterior Back stained with Other. Exterior Bottom Discolored, Out Of Shape. Exterior Handle Discolored, Out Of Shape, Worn. Exterior Corners Worn. Exterior Side Discolored, Out Of Shape. Exterior Top Discolored, Out Of Shape. Embellishment Scratched. Practical Attachment Scratched. Zipper Scratched. 

Inclusions: 
Authenticity Card

Hand Drop: 31.00 cm
Shoulder Drop: 31.00 cm

Serial Number: B4831
Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,SHOULDER BAGS,"ALL, BAGS_PRADA_WOMEN_ALL, DESIGNER_ALL, PRADA_ALL, PRADA_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG280370,0,shopify,1,deny,manual,910,1990,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/f733328ed035c49741a6808ee4879977.jpg?v=1692613000,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-monogram-canvas-small-wallet-spain,Brown Monogram Canvas Small Wallet Spain,"This wallet features a monogram canvas body, a front flap, and interior zip and slip pockets Exterior Top Scratched, Worn. 

Inclusions: 
Dust Bag
Box
Box

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.


Serial Number: CA3101
Country of Origin: Spain
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,WALLETS,"ACCESSORIES_LOUIS VUITTON_WOMEN_ALL, ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ACCESSORIES_ALL, WOMEN_ACCESSORIES_WALLETS, WOMEN_ALL",TRUE,Title,Default Title,,,,,SBUPAC281230,0,shopify,1,deny,manual,640,950,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/a9095289bf8bf2c51ae3d93b35135911.jpg?v=1692612996,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-monogram-canvas-odeon-pm-spain-5,Brown Monogram Canvas Odeon PM Spain,"The Odeon PM features a monogram canvas body with vachetta leather trim, an exterior front slip pocket, an adjustable flat leather strap, a top zip closure, and interior slip pockets. Exterior Front Discolored, Worn. Exterior Front stained with Water Mark. Exterior Back Discolored, Worn. Exterior Back stained with Water Mark. Exterior Handle Discolored, Out Of Shape, Worn. Exterior Handle stained with Water Mark. Exterior Pocket Discolored, Worn. Exterior Corners Discolored, Worn. Exterior Side Discolored, Worn. Exterior Top Discolored, Worn. Interior Lining Discolored, Worn. Interior Pocket Discolored, Worn. Practical Attachment Scratched. Zipper Scratched. 

Inclusions: 
This item does not come with inclusions.

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Shoulder Drop: 51.00 cm

Serial Number: CA3098
Country of Origin: Spain",styletribute,,BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL",TRUE,Title,Default Title,,,,,SBUPBG277679,0,shopify,1,deny,manual,1640,2460,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/be3b9a554ff1652a28a20b6e0b81985d.jpg?v=1692612984,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-damier-canvas-ebene-navona-france-1,Brown Damier Canvas Ebene Navona France,"The Navona features a damier canvas body, a flat leather strap, and a top zip closure. Exterior Front Out Of Shape. Exterior Back Out Of Shape. Exterior Bottom Scratched. Exterior Handle Out Of Shape, Scratched. Exterior Corners Worn. Exterior Side Scratched. Practical Attachment Rusty/Tarnished, Scratched. Zipper Rusty/Tarnished, Scratched. 

Inclusions: 
This item does not come with inclusions.

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Hand Drop: 15.00 cm

Serial Number: FL0046
Country of Origin: France",styletribute,,SHOULDER BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG263787,0,shopify,1,deny,manual,1440,2150,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/767fd51c66f50c9a46b990dc55bc9e02_2b44f386-121c-4e56-a679-e39b9d39df99.jpg?v=1692612976,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-monogram-canvas-mini-montsouris-france-1,Brown Monogram Canvas Mini Montsouris France,"The Mini Montsouris features a monogram canvas body, flat back straps, a front flap with a belt buckle and drawstring closure, and a front zip pocket. Exterior Front Discolored, Out Of Shape, Worn. Exterior Back Discolored, Out Of Shape, Worn. Exterior Bottom Discolored, Out Of Shape. Exterior Bottom stained with Water Mark. Exterior Handle Discolored, Out Of Shape. Exterior Handle stained with Other. Exterior Pocket Worn. Exterior Corners Discolored, Worn. Exterior Side Discolored, Out Of Shape, Worn. Exterior Top Discolored, Out Of Shape. Interior Lining Discolored. Interior Lining stained with Other. Practical Attachment Rusty/Tarnished, Scratched. 

Inclusions: 
Dust Bag

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Hand Drop: 6.50 cm
Shoulder Drop: 80.00 cm

Serial Number: SP0937
Country of Origin: France",styletribute,,BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL",TRUE,Title,Default Title,,,,,SBUPBG273853,0,shopify,1,deny,manual,1480,2220,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/e49f11b62e67c7b94ae6aeaf73f945ca.jpg?v=1692612976,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-monogram-canvas-dauphine-card-holder-spain,Brown Monogram Canvas Dauphine Card Holder Spain,"The Dauphine card holder features a monogram canvas body and slip pockets. Exterior Front Out Of Shape, Scratched. Exterior Back Out Of Shape. Exterior Bottom Out Of Shape. Exterior Corners Worn. Exterior Side Out Of Shape. Exterior Top Out Of Shape, Worn. Practical Attachment Scratched. 

Inclusions: 
This item does not come with inclusions.

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.


Country of Origin: Spain
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,ACCESSORIES,"ACCESSORIES_LOUIS VUITTON_WOMEN_ALL, ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ACCESSORIES_ALL, WOMEN_ALL",TRUE,Title,Default Title,,,,,SBUPAC281231,0,shopify,1,deny,manual,750,1120,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/f7ea4192f1e924d9286fb10aa29b7606.jpg?v=1692612963,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-monogram-canvas-neverfull-mm-france-11,Brown Monogram Canvas Neverfull MM France,"The Neverfull MM features a monogram canvas body, flat vachetta leather shoulder straps, an open top with lobster claw clasp closure, and an interior zip pocket. Exterior Front Discolored, Out Of Shape, Scratched. Exterior Front stained with Water Mark. Exterior Back Discolored, Out Of Shape, Scratched. Exterior Back stained with Water Mark. Exterior Bottom Discolored, Out Of Shape. Exterior Handle Discolored, Out Of Shape, Worn. Exterior Handle stained with Water Mark. Exterior Corners Discolored, Worn. Exterior Side Cracked, Discolored, Out Of Shape, Scratched. Exterior Top Discolored, Out Of Shape, Worn. Exterior Top stained with Water Mark. Interior Lining Discolored. Interior Pocket stained with Other. Practical Attachment Scratched. Zipper Scratched. 

Inclusions: 
Dust Bag

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Hand Drop: 21.50 cm
Shoulder Drop: 20.50 cm

Serial Number: AR4078
Country of Origin: France",styletribute,,TOTE BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_TOTEBAGS",TRUE,Title,Default Title,,,,,SBUPBG277681,0,shopify,1,deny,manual,1860,2690,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/246b81d7078cd1bb7d7dee8777144d40.jpg?v=1692612953,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-damier-canvas-ebene-navona-france,Brown Damier Canvas Ebene Navona France,"The Navona features a damier canvas body, a flat leather strap, and a top zip closure. Exterior Front Out Of Shape. Exterior Back Out Of Shape. Exterior Bottom Scratched. Exterior Handle Out Of Shape, Scratched. Exterior Corners Worn. Exterior Side Scratched. Practical Attachment Rusty/Tarnished, Scratched. Zipper Rusty/Tarnished, Scratched. 

Inclusions: 
This item does not come with inclusions.

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Hand Drop: 15.00 cm

Serial Number: FL0046
Country of Origin: France",styletribute,,SHOULDER BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG263790,0,shopify,1,deny,manual,1440,2150,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/767fd51c66f50c9a46b990dc55bc9e02.jpg?v=1692612935,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-monogram-canvas-popincourt-haut-france-1,Brown Monogram Canvas Popincourt Haut France,"The Popincourt Haut features a monogram canvas body with leather trim, flat leather shoulder straps, a top zip closure, and interior slip pockets. Exterior Front Discolored, Worn. Exterior Front stained with Water Mark. Exterior Back Discolored, Worn. Exterior Bottom Discolored, Worn. Exterior Pocket Discolored, Out Of Shape, Worn. Exterior Pocket stained with Water Mark. Exterior Corners Worn. Exterior Side Discolored, Worn. Exterior Top Discolored, Worn. Interior Lining Discolored, Worn. Interior Lining stained with Other. Interior Pocket Discolored, Worn. Interior Pocket stained with Other. Practical Attachment Scratched. Zipper Scratched. 

Inclusions: 
This item does not come with inclusions.

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.

Hand Drop: 25.00 cm
Shoulder Drop: 22.00 cm

Serial Number: FL1068
Country of Origin: France",styletribute,,SHOULDER BAGS,"ALL, BAGS_LOUIS VUITTON_WOMEN_ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG273855,0,shopify,1,deny,manual,1220,1830,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/d9830498000849e5d97a6707c00c1b6a.jpg?v=1692612935,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
red-dark-calf-leather-belt-italy,Red Dark Calf Leather Belt Italy,"This belt features a leather waist strap and a metal buckle closure. Exterior Front Out Of Shape, Scratched, Worn. Exterior Back Out Of Shape, Worn. Exterior Back stained with Other. 

Inclusions: 
This item does not come with inclusions.

Belt Size: 100.00 cm

Serial Number: 146439
Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,BELTS,ALL,TRUE,Title,Default Title,,,,,SBUPAC281232,0,shopify,1,deny,manual,450,670,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/ae1df38079d48336eb4f42332c5df5d8.jpg?v=1692612931,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-beige-canvas-fabric-gg-jolicoeur-tote-bag-italy-1,Brown Beige Canvas Fabric GG Jolicoeur Tote Bag Italy,"The Jolicoeur features a canvas body, flat leather shoulder straps, an open top, and an interior zip and slip pockets. Exterior Back Discolored, Out Of Shape, Worn. Exterior Bottom Discolored, Out Of Shape, Worn. Exterior Corners Worn. Interior Lining Worn. Interior Lining stained with Other. Interior Pocket stained with Other. Embellishment Scratched. Practical Attachment Scratched. 

Inclusions: 
Dust Bag

Hand Drop: 21.00 cm

Serial Number: 137396 467891
Country of Origin: Italy",styletribute,,TOTE BAGS,"ALL, BAGS_GUCCI_WOMEN_ALL, DESIGNER_ALL, GUCCI_ALL, GUCCI_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_TOTEBAGS",TRUE,Title,Default Title,,,,,SBUPBG277682,0,shopify,1,deny,manual,690,950,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/b6bd967a2bb113294598be49dbfbb384.jpg?v=1692612919,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
black-nylon-fabric-tote-bag-italy,Black Nylon Fabric Tote Bag Italy,"This tote bag features a nylon body, a front exterior zip pocket, flat handles, a top zip closure, and an interior zip pocket. Exterior Front stained with Other. Exterior Back stained with Other. Exterior Bottom stained with Other. Exterior Handle Scratched, Worn. Practical Attachment Scratched. 

Inclusions: 
This item does not come with inclusions.

Hand Drop: 10.00 cm

Serial Number: 019.2020.0528-06
Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,TOTE BAGS,"ALL, BAGS_GUCCI_WOMEN_ALL, DESIGNER_ALL, GUCCI_ALL, GUCCI_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_TOTEBAGS",TRUE,Title,Default Title,,,,,SBUPBG281233,0,shopify,1,deny,manual,410,550,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/05780be642b7caec4acc52d6cd45c6df.jpg?v=1692612900,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
black-patent-leather-gancini-handbag-italy,Black Patent Leather Gancini Handbag Italy,"This handbag features a patent leather body, rolled leather handles, top zip closure, and interior zip and slip pockets. Exterior Front Scratched. Exterior Back stained with Other. Exterior Bottom stained with Other. Exterior Handle Cracked. Exterior Corners Worn. Exterior Side Worn. Exterior Top Scratched. Interior Lining Loose Stitching. Embellishment Scratched. 

Inclusions: 
Dust Bag

Hand Drop: 11.00 cm

Serial Number: EY 21 A066
Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,BAGS,"ALL, BAGS_SALVATORE FERRAGAMO_WOMEN_ALL, DESIGNER_ALL, SALVATORE FERRAGAMO_ALL, SALVATORE FERRAGAMO_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL",TRUE,Title,Default Title,,,,,SBUPBG280373,0,shopify,1,deny,manual,320,900,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/f014a8eeca3abe2b17f6ca4b4015913b.jpg?v=1692612892,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
brown-coated-canvas-fabric-crystal-zucchino-mamma-forever-italy,Brown Coated Canvas Fabric Crystal Zucchino Mamma Forever Italy,"The Mamma Forever features a coated canvas body, a flat shoulder strap, a flap with magnetic snap closure, and an interior zip pocket. Exterior Bottom Out Of Shape, Worn. Exterior Handle Out Of Shape, Worn. Exterior Side Worn. Exterior Top Worn. Interior Lining Worn. Interior Pocket Worn. Lock Scratched. Embellishment Scratched. Practical Attachment Scratched. 

Inclusions: 
This item does not come with inclusions.

Shoulder Drop: 21.00 cm

Country of Origin: Italy
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,SHOULDER BAGS,"ALL, BAGS_FENDI_WOMEN_ALL, DESIGNER_ALL, FENDI_ALL, FENDI_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG273863,0,shopify,1,deny,manual,1420,2130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/50225b808841275b36e3c460346f8ceb.jpg?v=1692612884,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
white-with-black-calf-leather-mini-motocross-classic-city-italy,White with Black Calf Leather Mini Motocross Classic City Italy,"The Mini City features a woven raffia body with leather trim, an exterior front zip pocket, rolled leather handles, a detachable flat leather strap, a top zip closure, and an interior zip pocket. Exterior Front Discolored, Worn. Exterior Back Discolored, Out Of Shape. Exterior Bottom Scratched, Worn. Exterior Handle Discolored, Worn. Exterior Pocket Worn. Exterior Corners Discolored, Worn. Exterior Side Discolored. Exterior Top Discolored, Worn. Interior Lining Discolored, Worn. Interior Pocket Discolored, Worn. Practical Attachment Scratched. Zipper Scratched. 

Inclusions: 
Dust Bag
Mirror

Hand Drop: 8.00 cm
Shoulder Drop: 52.00 cm

Serial Number: 300295
Country of Origin: Italy",styletribute,,SHOULDER BAGS,"ALL, BAGS_BALENCIAGA_WOMEN_ALL, BALENCIAGA_ALL, BALENCIAGA_WOMEN_ALL, DESIGNER_ALL, WOMEN_ALL, WOMEN_BAGS_ALL, WOMEN_BAGS_SHOULDERBAGS",TRUE,Title,Default Title,,,,,SBUPBG277683,0,shopify,1,deny,manual,1440,2150,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/ada72cd2f9d1615f09dd4ec871bfa63d.jpg?v=1692612877,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
black-with-multi-monogram-canvas-game-on-zippy-coin-purse-france,Black with Multi Monogram Canvas Game On Zippy Coin Purse France,"This coin pouch features a monogram canvas body, a zip-around closure, and interior slip pockets and compartments. Exterior Back Worn. Exterior Corners Worn. Interior Lining Worn. Interior Pocket Out Of Shape. Embellishment Scratched. Zipper Scratched. 

Inclusions: 
Dust Bag
Box
Box

Louis Vuitton pieces do not come with an authenticity card�please refer to the production date code within the bag for its age and as an authenticity reference.


Serial Number: SN3290
Country of Origin: France
Delivery will be within 1-2 weeks as this item will be coming from our international warehouse.",styletribute,,WALLETS,"ACCESSORIES_LOUIS VUITTON_WOMEN_ALL, ALL, DESIGNER_ALL, LOUIS VUITTON_ALL, LOUIS VUITTON_WOMEN_ALL, WOMEN_ACCESSORIES_ALL, WOMEN_ACCESSORIES_WALLETS, WOMEN_ALL",TRUE,Title,Default Title,,,,,SBUPAC281234,0,shopify,1,deny,manual,1030,1550,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/09fbf518e1f267f682bd58ab04016853.jpg?v=1692612858,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
black-nylon-fabric-tessuto-handbag-turkey,Black Nylon Fabric Tessuto Handbag Turkey,"This handbag features a nylon body with leather trim, rolled leather handles, top zip closure, and interior zip pocket. Exterior Front stained with Other. Exterior Back stained with Other. Exterior Handle stained with Other. Exterior Side stained with Other. Practical Attachment Scratched. 

Inclusions: 
Authenticity Card

Hand Drop: 12.50 cm

Serial Number: BL847B
Country of Origin: Turkey",styletribute,,BAGS,"ALL, BAGS_PRADA_WOMEN_ALL, DESIGNER_ALL, PRADA_ALL, PRADA_WOMEN_ALL, WOMEN_ALL, WOMEN_BAGS_ALL",TRUE,Title,Default Title,,,,,SBUPBG277684,0,shopify,1,deny,manual,760,1140,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0806/3811/6158/products/293cdef0be61a22317173fec88452879.jpg?v=1692612848,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active
